date,Bachelor_plus_1st_Quartile,Less_Bachelor_1st_Quartile,Bachelor_plus_4th_Quartile,Less_Bachelor_4th_Quartile,q1_Pooled,q4_Pooled
2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,0.729556151066002,0.46137271739234986,-0.023966408490250224,-0.1252150742142133,0.4858702289054051,-0.0760847730152836
2020-03-01,0.8352773764487953,0.5598532326525074,0.040511277516608324,-0.08588198668111335,0.5910864428570362,-0.024966756110433863
2020-04-01,1.0421030892370897,0.7775874556289697,0.19559407601663636,0.05397292647699725,0.8101406788144416,0.1232398387350564
2020-05-01,1.2354077699125776,1.00621584148326,0.3724088354080335,0.2103857440086232,1.0394969038482582,0.29128894445829
2020-06-01,1.3930346914893255,1.1708605494494817,0.515100790072287,0.3386370408003936,1.207902188459542,0.42634028661951984
2020-07-01,1.5132228607429354,1.3038508380169178,0.6263241166109212,0.43452818354363654,1.346278685882818,0.5299914183593657
2020-08-01,1.617066106055498,1.4070612196568355,0.7188398335586044,0.5058183123234361,1.4552961753764748,0.6131480498729136
2020-09-01,1.6990059804118829,1.4977301464229376,0.7956014732730887,0.5807938639571519,1.5510822348468345,0.6895643419153608
2020-10-01,1.8465477342907155,1.604945587562856,0.8802115578564473,0.6921117808021737,1.6706504643588804,0.788830918740846
2020-11-01,1.9457078914471015,1.7197727441886412,0.967285043724142,0.8279560435209499,1.7883192925374658,0.8962453156267758
2020-12-01,1.9982838483919352,1.8195527443483517,1.0318585273130676,0.9320938783222266,1.8883767885895075,0.9817881062209599
2021-01-01,2.0229867005747693,1.8964976878619089,1.0792679206272693,1.0264131062778903,1.9651820587601954,1.0513736119990735
2021-02-01,2.0673112575699815,1.9618827847629028,1.0952598727077323,1.100296503580278,2.034130765811404,1.0924507799828564
2021-03-01,2.0285974359901315,1.9455339976477415,1.0039974493085246,1.0850080821277475,2.020427028088556,1.0306239174262544
2021-04-01,1.8397889297236958,1.775219683589535,0.7861413876444345,0.9479900928859308,1.8522647698674177,0.8406821722604985
2021-05-01,1.5526561827378105,1.5399014867757854,0.4863508790783122,0.735015810505768,1.6160052632193889,0.5708664998128388
2021-06-01,1.2392188770713242,1.2852634152584974,0.16065249866639153,0.46739961776476324,1.3607249531576215,0.2657704668076688
2021-07-01,0.9448088841363278,1.0641832281961694,-0.15888161847188442,0.1919595261342888,1.1318377170978833,-0.038884533011662725
2021-08-01,0.6695680972411688,0.8739510751130775,-0.4710376022197371,-0.09438613534606954,0.9326500697027562,-0.3402632264126959
2021-09-01,0.412532030884627,0.673052389944484,-0.8047230327909105,-0.40589198341400845,0.7284802417092395,-0.6634497055314048
2021-10-01,0.0680462883259958,0.4029795900526212,-1.2097909072648294,-0.7988859510817514,0.45204743319648966,-1.0624294546019986
2021-11-01,-0.30624516841095684,0.07500814830900815,-1.6721791207557457,-1.2611856806528765,0.12310690183259254,-1.5197938871094774
2021-12-01,-0.6578313927632085,-0.2528915778420737,-2.1423257221634406,-1.7387302105761115,-0.21000987443891006,-1.993110368011286
2022-01-01,-1.0366864673036158,-0.572494425346548,-2.6291553129799583,-2.246512753373464,-0.540545081972077,-2.4873157163955995
2022-02-01,-1.4975721123025476,-0.9050209622602612,-3.121921411356654,-2.7723554240695503,-0.8943841974207167,-2.9916851538158262
2022-03-01,-2.012533865838484,-1.2586382928582607,-3.647162545918725,-3.3406792055503454,-1.2781611847100693,-3.530969487879987
2022-04-01,-2.47145453702573,-1.5635382021816469,-4.136375056428365,-3.8745178549241643,-1.60916676456746,-4.0341937843411335
2022-05-01,-2.9028949823898254,-1.8574638989623526,-4.634129558748579,-4.411164516514265,-1.9343539349170324,-4.545255703127449
2022-06-01,-3.351534597942951,-2.1661233973493177,-5.173227012565151,-4.959847609091139,-2.275980905879904,-5.090156368595844
2022-07-01,-3.717150686026538,-2.4136403285154984,-5.6665999821060575,-5.423164497388977,-2.550344350364453,-5.577653193492971
2022-08-01,-4.045676946135024,-2.64059855478207,-6.120268520629124,-5.829935373605943,-2.8023168615101346,-6.021502870048456
2022-09-01,-4.418630447898719,-2.853806686748128,-6.54329517460599,-6.231037906743975,-3.0467026014752596,-6.4434031301570105
2022-10-01,-4.76833356528541,-3.015155426349425,-6.90716130063902,-6.5781933683116804,-3.245780533876874,-6.808031249754176
2022-11-01,-5.029675377465503,-3.124544986427824,-7.188344146997538,-6.861857965374085,-3.386027239104128,-7.095925017391913
2022-12-01,-5.27741781333555,-3.1766091197047874,-7.407432634433286,-7.064502020026753,-3.466090903844199,-7.313206024724339
2023-01-01,-5.490079205697662,-3.2501328518662387,-7.622968906402572,-7.254602153301459,-3.5584186837961385,-7.521815667881304
2023-02-01,-5.667280698844657,-3.295090619405916,-7.805953900763818,-7.3985918272648,-3.6215279756081964,-7.69229801807374
2023-03-01,-5.746719999108829,-3.250836953013958,-7.873010749856002,-7.429453569033273,-3.5905688220408516,-7.749445086304152
2023-04-01,-5.828296292889057,-3.2258125601985377,-7.921994461307258,-7.476674712249032,-3.577256918186089,-7.801097359171827
2023-05-01,-5.8456600806495285,-3.147387303314475,-7.888916755155284,-7.43955277845858,-3.503404609678751,-7.768853243494833
2023-06-01,-5.829132975049234,-2.99495258630027,-7.750921264689903,-7.324890614632828,-3.3549870988630603,-7.640439315748915
2023-07-01,-5.840301492280209,-2.8853282295679294,-7.625708320251023,-7.239750372045306,-3.2457842335174902,-7.527423023640956
2023-08-01,-5.891572582955962,-2.842036609830889,-7.544049395911978,-7.19100780893791,-3.1991474072279757,-7.455805940317828
2023-09-01,-5.927049522531225,-2.8077462869376513,-7.4706004469044185,-7.117007985576818,-3.1606381483446633,-7.382368742501444
2023-10-01,-5.9195580839256134,-2.735185296081344,-7.369640408513356,-7.013837614955243,-3.0810605376700995,-7.280701278387092
2023-11-01,-5.910509745609427,-2.6369143227679137,-7.271399643050103,-6.912168717895839,-2.981747496045184,-7.181743961169529
2023-12-01,-5.881317230890004,-2.572699205760065,-7.18927296091858,-6.823999122755309,-2.9118710006115656,-7.0991240900070585
2024-01-01,-5.853414095640508,-2.502300669918256,-7.089152088817907,-6.69330724640147,-2.8358568796245986,-6.994303207317709
2024-02-01,-5.828049666634461,-2.4633143001846936,-7.002054246540879,-6.591591400108943,-2.7858567442940574,-6.907398962847799
2024-03-01,-5.821603348184401,-2.4720857094024273,-6.972936734964841,-6.536969666408599,-2.7727248956308514,-6.872770544592344
2024-04-01,-5.784366808458619,-2.4563817271135546,-6.928688088475798,-6.482939617743044,-2.7355850216540523,-6.821903181592681
2024-05-01,-5.739937077352608,-2.43777362554487,-6.8859829176797005,-6.45460780059115,-2.694116243715139,-6.778720701432195
2024-06-01,-5.649339903361739,-2.3988903260848238,-6.832615045494572,-6.4146501153341084,-2.636490251891832,-6.724202653461364
2024-07-01,-5.568493974838296,-2.377159927972383,-6.767407200455988,-6.36665642476224,-2.597117103453095,-6.661107300287905
2024-08-01,-5.441158074656083,-2.31820351245009,-6.669279533639139,-6.299536070195044,-2.52238264127711,-6.567877587756454
2024-09-01,-5.3034063920496255,-2.243815025517759,-6.545996029748236,-6.207128547546525,-2.432977095428468,-6.450061939104912
2024-10-01,-5.196689257894871,-2.217432646704509,-6.424829301309076,-6.118377058728708,-2.3878246494819733,-6.3368302762991435
2024-11-01,-5.117513486879366,-2.232556532551211,-6.326651719036636,-6.025888993384321,-2.3786105510867017,-6.239650163002564
2024-12-01,-5.063691641403767,-2.279091215998408,-6.232230394169247,-5.9664162387391695,-2.401011411666132,-6.154427822298469
